productsku,sales_0,sales_1,sales_2,sales_3,sales_4,sales_5,sales_6,sales_7,sales_8,sales_9,sales_10,sales_11,avgSales,stddevSales,totalPLPViewsProductLevel,totalPLPClicksProductLevel,totalPDPCountProductLevel,totalATCProductLevel,totalReturns,totalUsers,totalAvailableQuantity,yQuantity,brandname,pricebucket
465908969003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2886751345948128,4989.0,150.0,267.0,18.0,0.0,1.0,0.0,6,cantabil,3.0
464505471003,10.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.4166666666666667,2.843120351538663,20873.0,602.0,852.0,42.0,2.0,10.0,0.0,6,crocodile,2.0
441127978004,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,4.0,1.25,1.4847711791873706,1656.0,115.0,377.0,8.0,1.0,2.0,0.0,6,john-players,1.0
465077280002,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3031.0,128.0,167.0,18.0,2.0,1.0,8.0,6,hangup,1.0
441132214016,1.0,5.0,12.0,37.0,98.0,200.0,255.0,18.0,8.0,18.0,9.0,17.0,56.5,84.71503032895853,9778.0,716.0,1251.0,22.0,1.0,1.0,0.0,6,netplay,1.0
469384837003,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,1.1645001528813148,57345.0,1151.0,1550.0,78.0,2.0,4.0,98.0,6,u-s-polo-assn-,4.0
464249883002,7.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,6.0,3.0,1.0,2.25,2.261335084333227,146165.0,2172.0,5506.0,312.0,1.0,7.0,29.0,6,thomas-scott,2.0
441209411009,7.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,72434.0,4129.0,7898.0,217.0,1.0,7.0,0.0,6,altheory,2.0
469256925002,23.0,4.0,5.0,20.0,2.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,11.356482596724085,37988.0,2795.0,3273.0,69.0,6.0,23.0,4.0,6,arrow-sports,2.0
441213675003,41.0,69.0,139.0,404.0,96.0,68.0,214.0,34.0,23.0,34.0,10.0,7.0,94.91666666666667,114.21467692132401,237056.0,8781.0,12766.0,674.0,9.0,41.0,0.0,6,lee-cooper,2.0
441142644006,0.0,0.0,6.0,16.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2.75,4.634357854899935,40461.0,1386.0,1872.0,33.0,0.0,0.0,1.0,6,john-players,2.0
465867170002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.2886751345948128,22202.0,979.0,1204.0,49.0,0.0,1.0,0.0,6,snitch,2.0
469091622004,26.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,11.0,4.083333333333333,7.537281078784715,216915.0,13284.0,16027.0,410.0,8.0,26.0,8.0,6,allen-solly,2.0
441128742008,6.0,3.0,3.0,6.0,4.0,5.0,36.0,2.0,8.0,2.0,5.0,14.0,7.833333333333333,9.456439204279931,19360.0,981.0,1081.0,26.0,3.0,6.0,6.0,6,john-players,1.0
441146503014,28.0,3.0,39.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.833333333333333,12.932224257351253,69253.0,3929.0,6936.0,269.0,5.0,26.0,0.0,6,netplay,2.0
465150315006,3.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.2401124093721456,19376.0,744.0,1095.0,33.0,0.0,3.0,16.0,6,paul-street,2.0
469242691004,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1677484162422844,29032.0,231.0,268.0,12.0,1.0,3.0,15.0,6,ketch,1.0
462773696010,0.0,0.0,3.0,26.0,12.0,0.0,0.0,3.0,20.0,7.0,0.0,17.0,7.333333333333333,9.198155282776032,2149.0,244.0,711.0,6.0,0.0,0.0,0.0,6,dennislingo-premium-attire,2.0
469063064059,1.0,1.0,2.0,3.0,0.0,1.0,6.0,10.0,4.0,3.0,9.0,7.0,3.9166666666666665,3.3427896171076075,27115.0,222.0,1085.0,13.0,1.0,1.0,35.0,6,the-indian-garage-co,2.0
441122865011,10.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,5.0,4.0,5.0,9.0,3.5833333333333335,3.2879486097878807,7289.0,885.0,1409.0,54.0,0.0,10.0,0.0,6,john-players,1.0
441127441003,2.0,19.0,7.0,14.0,51.0,30.0,159.0,6.0,15.0,9.0,14.0,7.0,27.75,43.41998911268236,5356.0,281.0,423.0,13.0,1.0,2.0,2.0,6,john-players,1.0
465479603002,6.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,5.28003673081806,16093.0,567.0,1022.0,43.0,4.0,6.0,3.0,6,cantabil,2.0
464286834004,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.9166666666666666,0.996204919895622,37225.0,577.0,735.0,43.0,0.0,1.0,31.0,6,tistabene,1.0
469241617001,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.621581560508061,55216.0,997.0,1355.0,87.0,1.0,1.0,14.0,6,levis,4.0
462103975053,34.0,2.0,9.0,36.0,21.0,17.0,77.0,26.0,34.0,70.0,50.0,14.0,32.5,23.255497883687244,486554.0,12243.0,24530.0,1256.0,14.0,34.0,1.0,6,dennislingo-premium-attire,2.0
460979124005,4.0,4.0,1.0,1.0,2.0,5.0,8.0,0.0,1.0,4.0,2.0,1.0,2.75,2.3011854652449344,79182.0,2419.0,4135.0,136.0,1.0,4.0,75.0,6,pepe-jeans,2.0
441146963009,13.0,7.0,16.0,47.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.916666666666667,13.500561155565034,11712.0,2115.0,11096.0,75.0,5.0,11.0,0.0,6,netplay,2.0
465186002005,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,4.438126822992972,162072.0,3313.0,4517.0,214.0,7.0,13.0,11.0,6,bene-kleed,1.0
469110556001,10.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,4.0,2.5,3.060005941764879,107568.0,2231.0,4813.0,162.0,6.0,9.0,31.0,6,the-indian-garage-co,2.0
