pincode,City,DistrictsName,State
204214,Aligarh,Aligarh,Uttar Pradesh
209101,Akbarpur,Kanpur,Uttar Pradesh
210301,Hamirpur,Hamirpur,Uttar Pradesh
212641,Fatehpur,Fatehpur,Uttar Pradesh
221001,Varanasi,Varanasi,Uttar Pradesh
224201,Faizabad,Faizabad,Uttar Pradesh
224223,Faizabad,Faizabad,Uttar Pradesh
226002,Lucknow,Lucknow,Uttar Pradesh
243202,Bareilly,Bareilly,Uttar Pradesh
277301,Ballia,Ballia,Uttar Pradesh
281301,Baldeo,Mathura,Uttar Pradesh
301713,Alwar,Alwar,Rajasthan
303106,Jaipur,Jaipur,Rajasthan
311607,Bhilwara,Bhilwara,Rajasthan
321022,Bharatpur,Bharatpur,Rajasthan
321034,Bharatpur,Bharatpur,Rajasthan
321408,Weir,Bharatpur,Rajasthan
321619,Bharatpur,Bharatpur,Rajasthan
322032,Swaimadhopur,Swaimadhopur,Rajasthan
323802,Bundi,Bundi,Rajasthan
325602,Kota,Kota,Rajasthan
331504,Churu,Churu,Rajasthan
334601,Bikaner,Bikaner,Rajasthan
342021,Jodhpur,Jodhpur,Rajasthan
362278,Junagadh,Junagadh,Gujarat
370001,Bhuj,Kuchchh,Gujarat
383215,Himatnagar,Sabarkantha,Gujarat
383326,Himatnagar,Sabarkantha,Gujarat
388710,Godhara,Panchmahal,Gujarat
394163,Surat,Surat,Gujarat
394690,Surat,Surat,Gujarat
411027,Pune,Pune,Maharashtra
413128,Sholapur,Sholapur,Maharashtra
413203,Karmala,Sholapur,Maharashtra
414113,Jalgaon,Jalgaon,Maharashtra
415004,Satara,Satara,Maharashtra
415505,Satara,Satara,Maharashtra
422402,Nashik,Nashik,Maharashtra
423213,Nashik,Nashik,Maharashtra
431112,Sillod,Jalgaon,Maharashtra
431147,Aurangabad,Aurangabad,Maharashtra
431537,Parbhani,Parbhani,Maharashtra
450001,Khandwa,East Nimar,Madhya Pradesh
450223,Khandwa,East Nimar,Madhya Pradesh
458468,Mandasur,Mandasur,Madhya Pradesh
465333,Shajapur,Shajapur,Madhya Pradesh
466118,Sehore,Sehore,Madhya Pradesh
490022,Durg,Durg,Chhattisgarh
491222,Durg,Durg,Chhattisgarh
506163,Warangal,Warangal,Andhra Pradesh
516390,Cuddapah,Cuddapah,Andhra Pradesh
517152,Chittoor,Chittoor,Andhra Pradesh
518583,Kurnool,Kurnool,Andhra Pradesh
521311,Krishna,Krishna,Andhra Pradesh
521333,Krishna,Krishna,Andhra Pradesh
531242,Vizianagaram,Vizianagaram,Andhra Pradesh
533210,East Godavari,East Godavari,Andhra Pradesh
533263,Dangeru,East Godavari,Andhra Pradesh
534327,West Godavari,West Godavari,Andhra Pradesh
560075,Bangalore,Bangalore,Karnataka
571125,Mysore,Mysore,Karnataka
571430,Malavalli,Mandya,Karnataka
571611,Hoskote,Mysore,Karnataka
574152,Mangalore,Dak. Kannada,Karnataka
574307,Puttur,Shimoga,Karnataka
581401,Karwar,Uttar Kannada,Karnataka
581437,Karwar,Uttar Kannada,Karnataka
583123,Bellary,Bellary,Karnataka
583234,Raichur,Raichur,Karnataka
585336,Bidar,Bidar,Karnataka
586208,Bijapur,Bijapur,Karnataka
591239,Belgaum,Belgaum,Karnataka
604103,Vellore,Vellore,Tamil Nadu
604601,Kilpennathur,Vellore,Tamil Nadu
613502,Thanjavur,Thanjavur,Tamil Nadu
614620,Thanjavur,Thanjavur,Tamil Nadu
626211,Virudhunagar,Virudhunagar,Tamil Nadu
629187,Killiyur,Kanyakumari,Tamil Nadu
638311,Madurai,Madurai,Tamil Nadu
638469,Madurai,Madurai,Tamil Nadu
643101,Uthagamandalam,The Nilgiri,Tamil Nadu
670005,Cannanore (Kannur),Kannur,Kerala
673522,Kozhikode,Kozhikode,Kerala
676103,Malapuram,Malapuram,Kerala
676514,Malapuram,Malapuram,Kerala
679571,Malapuram,Malapuram,Kerala
680731,Thrissur,Thrissur,Kerala
682013,Ernakulam,Ernakulam,Kerala
685501,Iduki,Iduki,Kerala
686011,Kottayam,Kottayam,Kerala
686536,Kottayam,Kottayam,Kerala
688505,Alappuzha,Alappuzha,Kerala
695562,Trivandrum,Trivandrum,Kerala
711302,Howrah,Howrah,West Bengal
713151,Bardhaman,Bardhaman,West Bengal
721253,Medinipur,Midnapur,West Bengal
721437,Medinipur,Midnapur,West Bengal
733153,West Dinajpur,West Dinajpur,West Bengal
744209,Port Blair,A&N Islands,Andaman Nicobar
754004,Rayagada,Rayagada,Orissa
754025,Cuttack,Cuttack,Orissa
761115,Chatrapur,Ganjam,Orissa
766106,Kalahandi,Kalahandi,Orissa
781022,Guwahati,Kamrup,Assam
782446,Lanka,Nagaon,Assam
783346,Kokrajhar,Kokrajhar,Assam
784110,Dhekiajuli,Sonitpur,Assam
785635,Sibsagar,Sibsagar,Assam
788705,Karimganj,Karimganj,Assam
795115,Imphal,Imphal,Manipur
805145,Gaya,Gaya,Bihar
812007,Bhagalpur,Bhagalpur,Bihar
823003,Gaya,Gaya,Bihar
825421,Hazaribagh,Hazaribagh,Jharkhand
828403,Chandrapura,Giridih,Jharkhand
829141,Bokaro,Bokaro,Jharkhand
833102,Chakradharpur,Paschimi Singhbhum,Jharkhand
843318,Sitamarhi,Sitamarhi,Bihar
844511,Hazipur,Vaishali,Bihar
845106,Betia,West Champaran,Bihar
855124,Katihar,Katihar,Bihar
126113,Jind,Jind,Haryana
132051,Panipat,Panipat,Haryana
142061,Ferozepur,Ferozepur,Punjab
172114,Reckong Peo,Kinnaur,Himachal Pradesh
176202,Nurpur,Kangra,Himachal Pradesh
182203,Doda,Doda,Jammu & Kashmir
184102,Kathua,Kathua,Jammu & Kashmir
221314,Varanasi,Varanasi,Uttar Pradesh
221721,Ballia,Ballia,Uttar Pradesh
229206,Lalganj,Raibareilly,Uttar Pradesh
229502,Bhagwant Nagar,Unnao,Uttar Pradesh
241401,Hardoi,Hardoi,Uttar Pradesh
244402,Moradabad,Moradabad,Uttar Pradesh
247669,Saharanpur,Saharanpur,Uttar Pradesh
250345,Baghpat,Baghpat,Uttar Pradesh
273306,Gorakhpur,Gorakhpur,Uttar Pradesh
301705,Alwar,Alwar,Rajasthan
313706,Udaipur,Udaipur,Rajasthan
314023,Dungarpur,Dungarpur,Rajasthan
332730,Sikar,Sikar,Rajasthan
334404,Bikaner,Bikaner,Rajasthan
343027,Jalore,Jalore,Rajasthan
370440,Bhuj,Kuchchh,Gujarat
382350,Ahmedabad,Ahmedabad,Gujarat
382737,Mahesana,Mahesana,Gujarat
382863,Mahesana,Mahesana,Gujarat
385002,Palanpur,Banaskantha,Gujarat
387345,Nadiad,Kheda,Gujarat
388715,Godhara,Panchmahal,Gujarat
394114,Bharuch,Bharuch,Gujarat
400002,Mumbai,Mumbai,Maharashtra
402401,Alibag,Raigarh,Maharashtra
431213,Aurangabad,Aurangabad,Maharashtra
441408,Nagpur,Nagpur,Maharashtra
445306,Yeotamal,Yeotamal,Maharashtra
457990,Jobat,Jhabua,Madhya Pradesh
457993,Ranapur,Jhabua,Madhya Pradesh
464676,Vidisha,Vidisha,Madhya Pradesh
470002,Sagar,Sagar,Madhya Pradesh
501156,Ranga Reddy,Ranga Reddy,Andhra Pradesh
508287,Nalgonda,Nalgonda,Andhra Pradesh
515405,Anantapur,Anantapur,Andhra Pradesh
516175,Cuddapah,Cuddapah,Andhra Pradesh
523280,Prakasam,Prakasam,Andhra Pradesh
523346,Prakasam,Prakasam,Andhra Pradesh
524315,Nellore,Nellore,Andhra Pradesh
533217,East Godavari,East Godavari,Andhra Pradesh
534145,West Godavari,West Godavari,Andhra Pradesh
534209,West Godavari,West Godavari,Andhra Pradesh
534218,West Godavari,West Godavari,Andhra Pradesh
534343,West Godavari,West Godavari,Andhra Pradesh
534350,West Godavari,West Godavari,Andhra Pradesh
563150,Chintamani,Kolar,Karnataka
570009,Mysore,Mysore,Karnataka
572115,Koratagere,Tumkur,Karnataka
572163,Madhugiri,Tumkur,Karnataka
572217,Alur,Tumkur,Karnataka
576239,Mangalore,Dak. Kannada,Karnataka
581414,Karwar,Uttar Kannada,Karnataka
583113,Bellary,Bellary,Karnataka
584101,Raichur,Raichur,Karnataka
584161,Raichur,Raichur,Karnataka
585244,Gulbarga,Gulbarga,Karnataka
585325,Jevargi,Gulbarga,Karnataka
585359,Gulbarga,Gulbarga,Karnataka
587318,Bijapur,Bijapur,Karnataka
600089,Chennai,Chennai,Tamil Nadu
601104,Tiruvallur,Tiruvallur,Tamil Nadu
621006,Tiruchirappalli,Tiruchirappalli,Tamil Nadu
622304,Pudukottai,Pudukottai,Tamil Nadu
627758,Vasudevanallur,Tirunelveli,Tamil Nadu
627904,Tirunelveli,Tirunelveli,Tamil Nadu
635133,Dharmapuri,Dharmapuri,Tamil Nadu
635656,Sivaganga,Sivaganga,Tamil Nadu
638207,Madurai,Madurai,Tamil Nadu
638670,Madurai,Madurai,Tamil Nadu
642115,Coimbatore,Coimbatore,Tamil Nadu
678575,Thrissur,Thrissur,Kerala
680664,Kodungallur,Thrissur,Kerala
686609,Kottayam,Kottayam,Kerala
691007,Kollam,Kollam,Kerala
691305,Kollam,Kollam,Kerala
691581,Kollam,Kollam,Kerala
713427,Bardhaman,Bardhaman,West Bengal
713516,Panuhat,Bardhaman,West Bengal
741245,Madanpur,Nadiad,West Bengal
743348,Barast,South 24 Parganas,West Bengal
756044,Gopalpur,Baleshwar,Orissa
758072,Kendujhar,Kendujhar,Orissa
764012,Koraput,Koraput,Orissa
767064,Sonapur,Sonapur,Orissa
768019,Sambalpur,Sambalpur,Orissa
782002,Nagaon,Nagaon,Assam
786125,Dibrugarh,Dibrugarh,Assam
786172,Dibrugarh,Dibrugarh,Assam
801306,Biharsharif,Nalanda,Bihar
825316,Kuju,Hazaribagh,Jharkhand
825409,Jhumri Tilaiya,Hazaribagh,Jharkhand
835219,Ranchi,Ranchi,Jharkhand
843127,Muzaffarpur,Muzaffarpur,Bihar
843152,Muzaffarpur,Muzaffarpur,Bihar
844503,Hazipur,Vaishali,Bihar
845517,Motihari,Purba Champaran,Bihar
848147,Samastipur,Samastipur,Bihar
110015,New Delhi,North Delhi,Delhi
125074,Bhiwani,Bhiwani,Haryana
132108,Karnal,Karnal,Haryana
144009,Jalandhar,Jalandhar,Punjab
172024,Reckong Peo,Kinnaur,Himachal Pradesh
175001,Mandi,Mandi,Himachal Pradesh
175122,Kullu,Kullu,Himachal Pradesh
176321,Chamba,Chamba,Himachal Pradesh
177028,Hamirpur,Hamirpur,Himachal Pradesh
177031,Una,Una,Himachal Pradesh
193230,Magam,Kupwara,Jammu & Kashmir
201206,Muradnagar,Ghaziabad,Uttar Pradesh
205122,Mainpuri,Mainpuri,Uttar Pradesh
209320,Jhinjhak,Kanpur,Uttar Pradesh
221311,Varanasi,Varanasi,Uttar Pradesh
225119,Barabanki,Barabanki,Uttar Pradesh
225302,Barabanki,Barabanki,Uttar Pradesh
229204,Raibareilly,Raibareilly,Uttar Pradesh
243401,Bareilly,Bareilly,Uttar Pradesh
263641,Almora,Almora,Uttaranchal
272127,Basti,Basti,Uttar Pradesh
277206,Ballia,Ballia,Uttar Pradesh
285242,Jalaun,Jalaun,Uttar Pradesh
301408,Alwar,Alwar,Rajasthan
305402,Ajmer,Ajmer,Rajasthan
306502,Pali,Pali,Rajasthan
314403,Dungarpur,Dungarpur,Rajasthan
321603,Bharatpur,Bharatpur,Rajasthan
341306,Nagaur,Nagaur,Rajasthan
341547,Nagaur,Nagaur,Rajasthan
363650,Rajkot,Rajkot,Gujarat
380021,Ahmedabad,Ahmedabad,Gujarat
382023,Gandhinagar,Gandhi Nagar,Gujarat
382655,Mahesana,Mahesana,Gujarat
383220,Himatnagar,Sabarkantha,Gujarat
385516,Palanpur,Banaskantha,Gujarat
387651,Nadiad,Kheda,Gujarat
388425,Anand,Anand,Gujarat
392163,Bharuch,Bharuch,Gujarat
394716,The Dangs,The Dangs,Gujarat
412108,Pune,Pune,Maharashtra
415608,Ratnagiri,Ratnagiri,Maharashtra
416515,Ratnagiri,Ratnagiri,Maharashtra
425448,Dhule,Dhule,Maharashtra
431201,Aurangabad,Aurangabad,Maharashtra
441225,Chandrapur,Chandrapur,Maharashtra
444118,Akola,Akola,Maharashtra
444120,Dhule,Dhule,Maharashtra
445308,Yeotamal,Yeotamal,Maharashtra
466112,Sehore,Sehore,Madhya Pradesh
476235,Morena,Morena,Madhya Pradesh
491993,Durg,Durg,Chhattisgarh
493228,Raipur,Raipur,Chhattisgarh
495663,Bilaspur,Bilaspur,Chhattisgarh
501204,Ranga Reddy,Ranga Reddy,Andhra Pradesh
504305,Adilabad,Adilabad,Andhra Pradesh
506142,Warangal,Warangal,Andhra Pradesh
509340,Mahboobnagar,Mahboobnagar,Andhra Pradesh
515154,Anantapur,Anantapur,Andhra Pradesh
515212,Anantapur,Anantapur,Andhra Pradesh
515419,Anantapur,Anantapur,Andhra Pradesh
518599,Kurnool,Kurnool,Andhra Pradesh
522034,Guntur,Guntur,Andhra Pradesh
522278,Guntur,Guntur,Andhra Pradesh
524102,Nellore,Nellore,Andhra Pradesh
530024,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
532211,Srikakulam,Srikakulam,Andhra Pradesh
533446,East Godavari,East Godavari,Andhra Pradesh
534002,West Godavari,West Godavari,Andhra Pradesh
560006,Bangalore,Bangalore,Karnataka
560070,Bangalore,Bangalore,Karnataka
571132,Chik Ballapur,Mysore,Karnataka
574131,Mangalore,Dak. Kannada,Karnataka
577220,Shimoga,Shimoga,Karnataka
580010,Dharwar,Dharwar,Karnataka
581129,Dharwar,Dharwar,Karnataka
581405,Dharwar,Dharwar,Karnataka
581448,Karwar,Uttar Kannada,Karnataka
583118,Bellary,Bellary,Karnataka
585236,Gulbarga,Gulbarga,Karnataka
585291,Shorapur,Gulbarga,Karnataka
586227,Bijapur,Bijapur,Karnataka
590005,Belgaum,Belgaum,Karnataka
591506,Belgaum,Belgaum,Karnataka
613202,Thanjavur,Thanjavur,Tamil Nadu
613403,Vallam,Thanjavur,Tamil Nadu
614401,Thanjavur,Thanjavur,Tamil Nadu
622310,Pudukottai,Pudukottai,Tamil Nadu
632606,Vellore,Vellore,Tamil Nadu
636009,Salem,Salem,Tamil Nadu
638312,Jambai,Madurai,Tamil Nadu
643263,Uthagamandalam,The Nilgiri,Tamil Nadu
670334,Cannanore (Kannur),Kannur,Kerala
673032,Kozhikode,Kozhikode,Kerala
673103,Kozhikode,Kozhikode,Kerala
678018,Thrissur,Thrissur,Kerala
678704,Thrissur,Thrissur,Kerala
679585,Thrissur,Thrissur,Kerala
686531,Kottayam,Kottayam,Kerala
688537,Alappuzha,Alappuzha,Kerala
690528,Kollam,Kollam,Kerala
691500,Kollam,Kollam,Kerala
695610,Trivandrum,Trivandrum,Kerala
700043,Kolkata,Calcutta,West Bengal
712409,Singur,Hooghly,West Bengal
731251,Suri,Birbhum,West Bengal
732140,English Bazar,Malda,West Bengal
741181,Krishnagar,Nadiad,West Bengal
754215,Pattamundai,Kendrapara,Orissa
755022,Cuttack,Cuttack,Orissa
759033,Dhenkanal,Dhenkanal,Orissa
761013,Chatrapur,Ganjam,Orissa
761032,Kodala,Jagatsinghapur,Orissa
761038,Chatrapur,Ganjam,Orissa
781006,Guwahati,Kamrup,Assam
781376,Nalbari,Nalbari,Assam
783347,Kokrajhar,Kokrajhar,Assam
792001,Tezu,Lohit,Arunachal Pradesh
795129,Senapati,Senapati,Manipur
802231,Arrah,Bhojpur,Bihar
803201,Patna,Patna,Bihar
828205,Dhanbad,Dhanbad,Jharkhand
829120,Hazaribagh,Hazaribagh,Jharkhand
845467,Motihari,Purba Champaran,Bihar
848121,Samastipur,Samastipur,Bihar
855106,Kishanganj,Kishanganj,Bihar
126006,Hissar,Hissar,Haryana
143108,Amritsar,Amritsar,Punjab
144022,Jalandhar,Jalandhar,Punjab
146001,Hoshiarpur,Hoshiarpur,Punjab
147002,Patiala,Patiala,Punjab
151002,Bhatinda,Bhatinda,Punjab
202136,Aligarh,Aligarh,Uttar Pradesh
207245,Sahawar,Etwah,Uttar Pradesh
221715,Ballia,Ballia,Uttar Pradesh
224205,Faizabad,Faizabad,Uttar Pradesh
229418,Kannauj,Kannauj,Uttar Pradesh
232113,Varanasi,Varanasi,Uttar Pradesh
249141,Uttarkashi,Uttarkashi,Uttaranchal
263159,Nainital,Nainital,Uttaranchal
263601,Almora,Almora,Uttaranchal
307513,Sirohi,Sirohi,Rajasthan
321413,Bharatpur,Bharatpur,Rajasthan
328032,Dholpur,Dholpur,Rajasthan
334022,Bikaner,Bikaner,Rajasthan
360005,Rajkot,Rajkot,Gujarat
362625,Junagadh,Junagadh,Gujarat
394650,Surat,Surat,Gujarat
400026,Mumbai,Mumbai,Maharashtra
400082,Mumbai,Mumbai,Maharashtra
402201,Alibag,Raigarh,Maharashtra
411016,Pune,Pune,Maharashtra
414305,Ahmednagar,Ahmednagar,Maharashtra
415108,Satara,Satara,Maharashtra
415312,Satara,Satara,Maharashtra
415807,Ratnagiri,Ratnagiri,Maharashtra
416301,Sangli,Sangli,Maharashtra
423114,Nashik,Nashik,Maharashtra
431108,Aurangabad,Aurangabad,Maharashtra
441116,Nagpur,Nagpur,Maharashtra
472446,Tikamgarh,Tikamgarh,Madhya Pradesh
494114,Dantewada,Dantewada,Chhattisgarh
500037,Hyderabad,Hyderabad,Andhra Pradesh
504322,Adilabad,Adilabad,Andhra Pradesh
505153,Karimnagar,Karimnagar,Andhra Pradesh
505474,Karimnagar,Karimnagar,Andhra Pradesh
507166,Khammam,Khammam,Andhra Pradesh
508215,Nalgonda,Nalgonda,Andhra Pradesh
508217,Nalgonda,Nalgonda,Andhra Pradesh
515307,Anantapur,Anantapur,Andhra Pradesh
517408,Chittoor,Chittoor,Andhra Pradesh
518467,Kurnool,Kurnool,Andhra Pradesh
530005,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
531085,Vizianagaram,Vizianagaram,Andhra Pradesh
533248,East Godavari,East Godavari,Andhra Pradesh
534199,East Godavari,East Godavari,Andhra Pradesh
562115,Bangalore,Bangalore,Karnataka
570021,Mysore,Mysore,Karnataka
571415,Arsikere,Mysore,Karnataka
571456,Maddur,Mandya,Karnataka
572240,Malur,Tumkur,Karnataka
574162,Mangalore,Dak. Kannada,Karnataka
581320,Bhatkal,Uttar Kannada,Karnataka
583126,Bellary,Bellary,Karnataka
585253,Gulbarga,Gulbarga,Karnataka
585259,Aurad,Bidar,Karnataka
587118,Hungund,Bijapur,Karnataka
603319,Tiruvallur,Tiruvallur,Tamil Nadu
607002,Vellore,Vellore,Tamil Nadu
607802,Neyveli,Vellore,Tamil Nadu
609202,Manalmedu,Thanjavur,Tamil Nadu
613201,Thanjavur,Thanjavur,Tamil Nadu
621015,Tiruchirappalli,Tiruchirappalli,Tamil Nadu
622002,Pudukottai,Pudukottai,Tamil Nadu
625119,Madurai,Madurai,Tamil Nadu
627415,Tirunelveli,Tirunelveli,Tamil Nadu
638314,Olagadam,Madurai,Tamil Nadu
643260,Uthagamandalam,The Nilgiri,Tamil Nadu
670501,Cannanore (Kannur),Kannur,Kerala
673579,Wayanad,Wayanad,Kerala
678543,Thrissur,Thrissur,Kerala
678624,Thrissur,Thrissur,Kerala
679308,Thrissur,Thrissur,Kerala
679502,Thrissur,Thrissur,Kerala
680588,Thrissur,Thrissur,Kerala
682007,Ernakulam,Ernakulam,Kerala
686615,Kottayam,Kottayam,Kerala
686638,Kottayam,Kottayam,Kerala
688545,Alappuzha,Alappuzha,Kerala
689632,Pathanamthitta,Pathanamthitta,Kerala
689668,Pathanamthitta,Pathanamthitta,Kerala
690501,Alappuzha,Alappuzha,Kerala
690502,Alappuzha,Alappuzha,Kerala
691504,Kollam,Kollam,Kerala
691510,Kollam,Kollam,Kerala
695130,Trivandrum,Trivandrum,Kerala
695310,Trivandrum,Trivandrum,Kerala
700010,Kolkata,Calcutta,West Bengal
711109,Canning - II,Howrah,West Bengal
731124,Suri,Birbhum,West Bengal
733121,West Dinajpur,West Dinajpur,West Bengal
736204,Koch Bihar,Coochbehar,West Bengal
741199,Krishnagar,Nadiad,West Bengal
743175,Alipore,North 24 Parganas,West Bengal
743413,Alipore,North 24 Parganas,West Bengal
754001,Cuttack,Cuttack,Orissa
754030,Cuttack,Cuttack,Orissa
766020,Kalahandi,Kalahandi,Orissa
768213,Jharsuguda,Jharsuguda,Orissa
768214,Sambalpur,Sambalpur,Orissa
769009,Sundargarh,Sundargarh,Orissa
781102,Guwahati,Kamrup,Assam
